date,from,to,rate
2020-04-20,THB,JPY,3.3191
2020-04-21,JPY,THB,0.3030
2020-04-22,JPY,THB,0.3006
2020-04-23,JPY,THB,0.3008
2020-03-25,JPY,THB,0.2941
2020-03-26,JPY,THB,0.2982
2020-03-27,JPY,THB,0.2997
2020-03-28,JPY,THB,0.2997
2020-03-29,JPY,THB,0.2997
2020-03-30,JPY,THB,0.3023
2020-03-31,JPY,THB,0.3021
2020-04-01,JPY,THB,0.3072
2020-04-02,JPY,THB,0.3072
2020-04-03,JPY,THB,0.3040
2020-04-04,JPY,THB,0.3040
2020-04-05,JPY,THB,0.3040
2020-04-06,JPY,THB,0.3017
2020-04-07,JPY,THB,0.3008
2020-04-08,JPY,THB,0.3009
2020-04-09,JPY,THB,0.3014
2020-04-10,JPY,THB,0.3014
2020-04-11,JPY,THB,0.3014
2020-04-12,JPY,THB,0.3014
2020-04-13,JPY,THB,0.3014
2020-04-14,JPY,THB,0.3048
2020-04-15,JPY,THB,0.3042
2020-04-16,JPY,THB,0.3036
2020-04-17,JPY,THB,0.3023
2020-04-18,JPY,THB,0.3023
2020-04-19,JPY,THB,0.3023
2020-04-20,JPY,THB,0.3013
